acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mgm_x,mgm_y,mgm_z
0.12689269,-0.033518825,0.06703765,-0.001221731,0,0,9.78,26.039999,13.5
-0.2681506,-0.16759412,0.12210429,0.19792034,0.15027285,0.21502456,11.94,17.4,22.92
-0.8834604,-0.11971009,-0.39264908,0.75502944,-0.16493362,-0.3115413,13.679999,8.58,28.56
-0.25378537,0.60573304,-0.5267244,-0.25534168,-0.3323107,-0.7171558,14.58,1.14,30.119999
-0.18914193,0.1364695,0.16519992,-0.018325957,0.02565634,-0.07819075,14.88,-4.14,30.84
-1.3479356,0.08619126,0.1364695,-0.45937067,0.10262536,0.8527679,15.48,-8.34,30.06
0.06703765,-0.19153613,-0.18914193,0.003665192,0.24923302,0.84421575,15.9,-11.28,29.64
0.3854665,-0.16280572,0.045489833,-0.36041048,0.21502456,0.30665436,15.48,-13.0199995,29.34
-0.08140286,0.6751649,0.3854665,0.08552113,0.056199603,-0.25045475,14.759999,-14.34,29.4
0.260968,-0.074220255,-0.16998832,0.5693264,-0.03176499,-0.059864793,14.82,-13.62,29.22
0.28491,-0.35194764,-1.0247183,0.1600467,0.03176499,-0.059864793,14.759999,-10.92,28.56
0.2633622,0.32800564,-0.06943185,-0.24801129,0.04642576,-0.15515977,15.24,-7.08,27.9
0.6775591,-0.33758244,0.30645782,0.35063666,-0.03176499,-0.17715092,16.02,-1.74,27.06
-0.93852705,-0.37349546,-0.5506664,0.59498274,-0.05375614,-0.20280726,15.599999,3.9599998,26.46
0.2681506,0.39025488,-0.11252748,-0.012217305,0.017104227,-0.24678956,14.88,7.8599997,25.14
-0.090979666,0.08379706,0.24181437,-0.17592919,0.04153884,0.17470746,14.16,10.26,24.539999
-1.1923125,-0.6871359,0.33758244,-0.30176744,0.042760566,0.5522222,14.5199995,11.04,23.46
0.5650316,-0.23942018,0.088585466,0.23945917,0.24312437,0.43371433,14.759999,10.08,23.22
0.5506664,1.1204864,-0.20590134,-0.2883284,-0.14538592,0.096516706,14.88,8.46,23.16
-0.34955344,0.04309563,0.2681506,-0.17592919,-0.089186326,-0.2724459,16.14,7.08,22.439999
0.79008657,-0.39264908,0.45489833,0.12461651,-0.33475417,-0.18081611,16.68,4.98,22.619999
0.31124622,-0.56982,0.56982,0.25778514,0.09896017,-0.39706242,16.92,3.12,23.039999
0.35194764,0.6967127,-0.3854665,-0.2724459,-0.036651913,-0.14905111,17.039999,1.74,23.46
0.45250413,-0.51475334,-0.06943185,0.4251622,0.07452556,-0.09773844,16.5,0.78,22.98
-0.14844051,-0.088585466,-0.545878,0.72326446,0.15271631,-0.21380283,16.5,0.06,22.26
-0.074220255,0.40222588,-0.02873042,0.080634214,0.103847094,-0.25778514,16.56,0.29999998,21.779999
0.110133275,-0.095768064,0.50996494,0.32375857,0.11362094,0.056199603,16.56,1.3199999,21.3
-1.4748282,-0.6823475,-0.35913026,-0.5900958,-0.20891592,0.22479841,16.619999,1.5,22.5
0.320823,0.5434838,-0.002394202,0.017104227,0.08307768,0.16371189,16.56,1.4399999,22.92
0.4429273,0.31124622,0.035913024,-0.04886922,-0.015882496,0.09285152,16.98,-1.02,21.72
-0.07182605,0.15322891,0.14604631,-0.50946164,-0.12950343,-0.09040806,17.699999,-4.62,20.76
0.107739076,-0.3184288,0.4213795,-0.21502456,-0.021991149,0.12583824,17.82,-8.4,18.66
-0.15322891,-0.16280572,0.23942018,0.52534413,0.103847094,0.12095132,17.52,-11.82,18.119999
0.3854665,0.39504328,-0.24899697,-0.021991149,-0.18081611,-0.10629055,16.74,-14.4,18.3
-0.107739076,0.14844051,0.06943185,0.41783184,-0.22479841,-0.34208453,15.66,-16.08,17.88
0.60573304,-0.32561144,-0.6703765,0.18325958,-0.31642818,-0.3555236,15.299999,-17.52,18.06
0.48362875,0.10295067,-0.8571242,0.3481932,0.14538592,-0.12217305,14.7,-18.72,16.56
0.33758244,-0.15083471,0.06943185,-0.36896262,0.23945917,-0.118507855,14.58,-18.779999,15.96
-1.2138603,-0.31124622,0.9504981,-0.039095376,0.32498032,0.18448131,13.98,-19.14,16.32
-1.2186487,-1.103727,1.1228806,-1.0641272,0.06352998,0.4007276,13.92,-19.02,16.74
